environment_isWorkingTime,object_creationTime,object_fileName,object_fileSize,object_isHidden,object_lastWriteTime,object_companyName,object_fileDescription,object_fileVersion,object_internalName,object_legalCopyright,object_originalFilename,object_productName,object_productVersion,operation_errorCode,operation_functionName,operation_returnValue,subject_creationTime,subject_fileName,subject_fileSize,subject_isHidden,subject_lastWriteTime,subject_companyName,subject_fileDescription,subject_fileVersion,subject_internalName,subject_legalCopyright,subject_originalFilename,subject_productName,subject_productVersion,Permit?
TRUE,0,sers\gggg8\AppData\Local\Temp\acrord32_sbx,0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),0,DetouredCreateFileW,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,(EMPTY),0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),1,DetouredWriteFile,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,MountPointManager,0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),0,DetouredCreateFileW,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,(EMPTY),0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),1,DetouredWriteFile,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,C:\Users\gggg8\AppData\Roaming\Adobe\Acrobat,0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),0,DetouredCreateFileW,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,(EMPTY),0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),1,DetouredReadFile,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,MountPointManager,0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),0,DetouredCreateFileW,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,(EMPTY),0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),1,DetouredWriteFile,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,0,0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),2,DetouredCreateFileW,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
TRUE,0,(EMPTY),0,FALSE,0,(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),(obj_module_ERROR),1,DetouredReadFile,1,1.3264E+17,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,3141816,FALSE,1.3264E+17,Adobe Systems Incorporated,Adobe Acrobat Reader DC ,21.1.20155.433178,(EMPTY),Copyright 1984-2021 Adobe Systems Incorporated and its licensors. All rights reserved.,AcroRd32.exe,Adobe Acrobat Reader DC,21.1.20155.433178,YES
